incidencia_id,viaje_id,vehiculo_id,conductor_id,linea_id,fecha,anno,mes,hora_incidencia,tipo_incidencia,categoria,severidad,requiere_retirada,duracion_resolucion_min,vehiculo_sustituto,coste_estimado_eur
22,15909,34,6,5,2022-05-13,2022,5,11:00,Retencion trafico,Externo,Baja,False,34,False,44.47
23,822,25,11,7,2023-01-06,2023,1,11:58,Obras calzada,Externo,Media,False,5,False,0.0
24,15119,42,28,5,2024-04-22,2024,4,17:11,Huelga parcial,Operacional,Alta,True,100,True,0.0
25,13467,28,28,4,2022-09-03,2022,9,12:00,Retencion trafico,Externo,Baja,False,20,False,27.1
26,26498,39,11,7,2024-04-18,2024,4,07:34,Pasajero enfermo,Servicio,Media,False,5,False,81.72
27,42112,29,1,1,2023-11-24,2023,11,08:48,Obras calzada,Externo,Media,False,27,False,0.0
28,30189,34,6,10,2023-05-08,2023,5,00:32,Accidente leve,Seguridad,Alta,True,87,True,2082.82
29,37238,27,27,4,2024-12-15,2024,12,14:51,Retencion trafico,Externo,Baja,False,14,False,4.64
30,33110,15,15,1,2024-08-31,2024,8,10:31,Vandalismo,Seguridad,Media,False,39,False,193.23
31,36481,26,26,6,2023-09-30,2023,9,06:04,Obras calzada,Externo,Media,False,7,False,0.0
32,24149,42,14,6,2024-03-02,2024,3,18:17,Fallo electrico,Vehiculo,Alta,True,25,True,609.8
33,5504,3,17,7,2022-11-28,2022,11,18:05,Accidente leve,Seguridad,Alta,True,21,True,2173.36
34,3919,14,28,5,2024-11-02,2024,11,13:34,Accidente leve,Seguridad,Alta,True,47,False,1204.2
35,38479,8,8,4,2024-05-10,2024,5,12:53,Fallo climatizacion,Vehiculo,Baja,False,47,False,240.7
36,21124,41,13,3,2023-01-11,2023,1,07:05,Vandalismo,Seguridad,Media,False,5,False,345.99
37,49718,33,19,5,2023-08-26,2023,8,06:29,Huelga parcial,Operacional,Alta,True,13,True,0.0
38,42295,2,16,9,2023-11-12,2023,11,20:28,Accidente leve,Seguridad,Alta,True,5,True,2818.35
39,47610,25,11,5,2023-02-05,2023,2,20:33,Obras calzada,Externo,Media,False,9,False,0.0
40,11077,32,18,6,2024-01-07,2024,1,14:14,Accidente leve,Seguridad,Alta,True,5,True,3607.16
41,41515,20,20,8,2024-11-10,2024,11,10:22,Accidente leve,Seguridad,Alta,True,11,False,2279.26
42,22063,14,28,1,2024-12-23,2024,12,10:52,Pinchazo,Vehiculo,Media,True,6,True,355.67
43,9414,7,7,6,2024-12-15,2024,12,12:33,Averia mecanica,Vehiculo,Alta,True,9,True,1157.47
44,38341,38,10,1,2023-01-05,2023,1,07:40,Huelga parcial,Operacional,Alta,True,6,True,0.0
45,30264,25,25,7,2023-01-30,2023,1,07:01,Pasajero enfermo,Servicio,Media,False,5,False,60.71
46,41253,10,10,6,2023-09-11,2023,9,20:06,Pasajero enfermo,Servicio,Media,False,5,False,60.95
47,14645,30,2,5,2022-03-24,2022,3,10:10,Retencion trafico,Externo,Baja,False,9,False,6.33
48,26336,3,17,5,2024-09-16,2024,9,11:54,Accidente grave,Seguridad,Critica,True,9,True,14622.86
49,28103,6,20,5,2022-01-19,2022,1,20:35,Averia mecanica,Vehiculo,Alta,True,134,True,1753.65
50,17524,11,25,10,2024-09-16,2024,9,22:10,Fallo climatizacion,Vehiculo,Baja,False,13,False,281.58
51,24713,18,18,5,2022-06-16,2022,6,08:51,Fallo electrico,Vehiculo,Alta,True,49,True,967.95
52,40486,41,27,7,2024-05-29,2024,5,10:12,Obras calzada,Externo,Media,False,27,False,0.0
53,3851,30,16,9,2023-01-10,2023,1,22:39,Accidente grave,Seguridad,Critica,True,52,False,6957.68
54,40041,16,2,4,2022-08-11,2022,8,16:01,Obras calzada,Externo,Media,False,23,False,0.0
55,15268,23,9,2,2022-11-05,2022,11,12:51,Condiciones meteo,Externo,Media,False,13,False,0.0
56,49147,8,8,10,2024-06-24,2024,6,22:14,Obras calzada,Externo,Media,False,33,False,0.0
57,30002,15,15,9,2022-02-17,2022,2,19:10,Pinchazo,Vehiculo,Media,True,21,False,325.77
58,45927,22,8,2,2023-08-05,2023,8,17:17,Huelga parcial,Operacional,Alta,True,66,True,0.0
59,43825,20,6,2,2022-09-03,2022,9,20:07,Averia mecanica,Vehiculo,Alta,True,79,True,1563.36
60,17241,22,22,8,2022-08-17,2022,8,07:24,Accidente grave,Seguridad,Critica,True,5,False,3331.86
61,4893,22,22,8,2023-08-25,2023,8,08:14,Pinchazo,Vehiculo,Media,True,16,True,226.75
62,726,13,27,5,2022-09-16,2022,9,20:45,Fallo electrico,Vehiculo,Alta,True,92,True,1928.27
63,22950,19,19,3,2022-04-14,2022,4,15:40,Accidente leve,Seguridad,Alta,True,50,True,1548.4
64,34658,9,23,1,2024-10-19,2024,10,18:52,Pinchazo,Vehiculo,Media,True,5,True,121.63
65,37214,3,3,2,2024-04-16,2024,4,18:13,Retencion trafico,Externo,Baja,False,41,False,35.64
66,20305,20,6,9,2023-06-06,2023,6,08:39,Retencion trafico,Externo,Baja,False,52,False,4.72
67,15270,25,11,6,2024-05-13,2024,5,15:52,Condiciones meteo,Externo,Media,False,5,False,0.0
68,22368,25,25,8,2023-10-25,2023,10,20:36,Accidente leve,Seguridad,Alta,True,34,True,1917.81
69,42685,14,14,3,2023-05-10,2023,5,07:46,Fallo climatizacion,Vehiculo,Baja,False,15,False,273.14
70,46735,32,4,8,2023-05-06,2023,5,10:34,Obras calzada,Externo,Media,False,5,False,0.0
71,11733,16,2,2,2023-11-02,2023,11,12:25,Fallo electrico,Vehiculo,Alta,True,37,False,1950.35
72,18620,15,1,10,2024-03-21,2024,3,23:03,Vandalismo,Seguridad,Media,False,5,False,144.76
73,48493,26,26,4,2022-12-16,2022,12,13:34,Accidente grave,Seguridad,Critica,True,63,True,14630.61
74,26804,9,9,3,2023-10-15,2023,10,10:47,Accidente grave,Seguridad,Critica,True,5,False,10274.98
75,44306,39,11,7,2023-08-16,2023,8,07:48,Pinchazo,Vehiculo,Media,True,63,True,207.02
76,47523,22,8,5,2024-09-29,2024,9,16:33,Fallo climatizacion,Vehiculo,Baja,False,5,False,263.21
77,32208,37,9,4,2023-09-28,2023,9,06:30,Fallo climatizacion,Vehiculo,Baja,False,15,False,72.81
78,2531,12,12,1,2024-12-27,2024,12,19:25,Obras calzada,Externo,Media,False,5,False,0.0
79,17747,24,24,2,2024-11-10,2024,11,07:00,Pasajero enfermo,Servicio,Media,False,5,False,72.96
80,8271,40,12,8,2023-10-10,2023,10,22:31,Condiciones meteo,Externo,Media,False,36,False,0.0
81,15080,3,17,7,2024-02-10,2024,2,10:31,Pasajero enfermo,Servicio,Media,False,5,False,58.01
82,13625,18,18,5,2022-11-27,2022,11,14:52,Averia mecanica,Vehiculo,Alta,True,91,True,1098.47
83,30639,22,8,10,2024-04-03,2024,4,05:30,Retencion trafico,Externo,Baja,False,7,False,27.76
84,30441,34,6,5,2023-10-07,2023,10,16:05,Averia mecanica,Vehiculo,Alta,True,5,True,1470.88
85,36057,22,22,4,2022-09-25,2022,9,06:42,Accidente leve,Seguridad,Alta,True,5,True,1885.41
86,42652,23,9,6,2024-10-15,2024,10,21:50,Pinchazo,Vehiculo,Media,True,14,True,392.1
87,36804,13,13,4,2022-01-31,2022,1,11:24,Huelga parcial,Operacional,Alta,True,80,True,0.0
88,48225,10,10,6,2024-01-17,2024,1,16:03,Accidente grave,Seguridad,Critica,True,55,True,9472.44
89,29227,38,24,8,2023-09-12,2023,9,12:33,Fallo electrico,Vehiculo,Alta,True,45,True,1087.9
90,5634,7,7,2,2022-03-13,2022,3,15:06,Huelga parcial,Operacional,Alta,True,19,True,0.0
91,5988,25,25,6,2023-05-14,2023,5,07:40,Fallo electrico,Vehiculo,Alta,True,15,False,974.54
92,48064,17,17,2,2022-07-23,2022,7,16:23,Pasajero enfermo,Servicio,Media,False,5,False,82.48
93,1813,8,22,3,2024-03-07,2024,3,15:02,Retencion trafico,Externo,Baja,False,12,False,38.76
94,27579,28,28,5,2022-09-29,2022,9,09:55,Pinchazo,Vehiculo,Media,True,8,True,324.69
95,16824,25,25,9,2024-02-25,2024,2,10:30,Accidente leve,Seguridad,Alta,True,36,False,3275.41
96,3929,24,10,8,2024-07-26,2024,7,19:07,Fallo electrico,Vehiculo,Alta,True,49,True,1759.19
97,37287,34,20,8,2023-06-16,2023,6,14:58,Condiciones meteo,Externo,Media,False,51,False,0.0
98,25046,15,15,3,2024-11-02,2024,11,07:05,Pinchazo,Vehiculo,Media,True,61,True,370.13
99,15728,21,21,4,2024-10-25,2024,10,09:20,Retencion trafico,Externo,Baja,False,99,False,34.72
100,29601,34,6,2,2024-01-14,2024,1,15:31,Condiciones meteo,Externo,Media,False,18,False,0.0
101,10431,16,16,7,2022-06-29,2022,6,19:11,Accidente grave,Seguridad,Critica,True,34,True,14009.0
102,25769,24,10,7,2024-12-03,2024,12,19:41,Fallo climatizacion,Vehiculo,Baja,False,8,False,104.05
103,29104,41,13,1,2024-09-09,2024,9,09:53,Accidente grave,Seguridad,Critica,True,23,False,13336.43
104,36538,41,27,7,2023-09-19,2023,9,17:42,Accidente leve,Seguridad,Alta,True,70,True,2945.37
105,39329,18,18,9,2024-08-23,2024,8,06:17,Condiciones meteo,Externo,Media,False,9,False,0.0
106,35540,9,9,5,2023-01-09,2023,1,11:40,Fallo climatizacion,Vehiculo,Baja,False,23,False,297.12
107,28076,21,21,6,2024-05-23,2024,5,19:43,Huelga parcial,Operacional,Alta,True,36,True,0.0
108,17841,34,6,7,2022-12-01,2022,12,13:20,Obras calzada,Externo,Media,False,6,False,0.0
109,27803,42,28,1,2024-07-14,2024,7,13:45,Condiciones meteo,Externo,Media,False,37,False,0.0
110,7683,40,12,5,2022-10-13,2022,10,15:52,Fallo climatizacion,Vehiculo,Baja,False,57,False,91.06
111,24280,5,5,10,2024-11-13,2024,11,01:01,Huelga parcial,Operacional,Alta,True,7,True,0.0
112,33071,18,4,3,2023-01-29,2023,1,21:04,Pasajero enfermo,Servicio,Media,False,11,False,23.29
113,35558,27,27,7,2023-02-08,2023,2,16:22,Obras calzada,Externo,Media,False,8,False,0.0
114,37190,21,7,2,2023-12-11,2023,12,08:52,Fallo climatizacion,Vehiculo,Baja,False,5,False,258.53
115,47150,27,27,5,2022-02-16,2022,2,20:09,Obras calzada,Externo,Media,False,17,False,0.0
116,46916,3,17,10,2023-11-18,2023,11,04:10,Vandalismo,Seguridad,Media,False,17,False,700.31
117,9802,17,3,4,2023-08-26,2023,8,09:31,Condiciones meteo,Externo,Media,False,13,False,0.0
118,38801,36,22,8,2022-12-01,2022,12,19:22,Pinchazo,Vehiculo,Media,True,13,True,162.34
119,24670,17,3,1,2024-03-05,2024,3,22:14,Retencion trafico,Externo,Baja,False,10,False,41.29
120,44234,9,23,3,2024-02-06,2024,2,20:22,Vandalismo,Seguridad,Media,False,34,False,214.79
121,31920,1,1,3,2023-11-13,2023,11,22:03,Fallo electrico,Vehiculo,Alta,True,47,False,416.54
122,7135,38,24,7,2023-01-12,2023,1,21:21,Obras calzada,Externo,Media,False,6,False,0.0
123,33705,22,22,6,2024-10-18,2024,10,17:14,Huelga parcial,Operacional,Alta,True,115,True,0.0
124,29661,10,10,9,2023-11-07,2023,11,17:15,Condiciones meteo,Externo,Media,False,5,False,0.0
125,17894,3,3,3,2023-03-30,2023,3,12:10,Accidente leve,Seguridad,Alta,True,15,True,2037.39
126,22019,12,12,4,2024-04-29,2024,4,20:45,Huelga parcial,Operacional,Alta,True,43,True,0.0
127,13539,16,16,4,2023-01-23,2023,1,12:34,Huelga parcial,Operacional,Alta,True,61,True,0.0
128,43119,28,28,6,2023-07-19,2023,7,12:42,Condiciones meteo,Externo,Media,False,75,False,0.0
129,36421,8,22,6,2022-05-24,2022,5,18:50,Averia mecanica,Vehiculo,Alta,True,11,False,2636.45
130,9406,41,27,7,2024-02-10,2024,2,14:14,Pinchazo,Vehiculo,Media,True,12,True,301.55
131,13414,17,3,6,2022-11-13,2022,11,12:51,Condiciones meteo,Externo,Media,False,10,False,0.0
132,6721,2,2,2,2024-08-07,2024,8,19:53,Pasajero enfermo,Servicio,Media,False,16,False,21.91
133,15602,21,7,6,2022-09-12,2022,9,19:40,Obras calzada,Externo,Media,False,5,False,0.0
134,44744,15,1,4,2024-08-08,2024,8,13:49,Condiciones meteo,Externo,Media,False,5,False,0.0
135,31139,18,4,1,2024-11-14,2024,11,16:12,Pasajero enfermo,Servicio,Media,False,35,False,13.3
136,2730,1,15,6,2024-05-06,2024,5,11:13,Pinchazo,Vehiculo,Media,True,14,False,154.28
137,38243,24,24,5,2024-01-03,2024,1,19:06,Pasajero enfermo,Servicio,Media,False,51,False,52.67
138,29626,17,3,2,2022-10-12,2022,10,22:42,Obras calzada,Externo,Media,False,38,False,0.0
139,47895,16,16,4,2023-05-22,2023,5,10:11,Accidente grave,Seguridad,Critica,True,109,True,6203.19
140,42091,8,8,3,2023-04-05,2023,4,07:40,Averia mecanica,Vehiculo,Alta,True,9,True,2940.7
141,36400,29,1,7,2022-06-10,2022,6,14:30,Averia mecanica,Vehiculo,Alta,True,47,True,2050.27
142,6245,30,2,5,2024-01-01,2024,1,06:09,Accidente leve,Seguridad,Alta,True,19,True,2328.3
143,5546,3,3,7,2023-07-20,2023,7,16:29,Accidente grave,Seguridad,Critica,True,6,True,10833.9
144,4065,34,6,10,2022-07-13,2022,7,23:44,Averia mecanica,Vehiculo,Alta,True,23,True,1211.76
145,12852,1,1,5,2023-03-16,2023,3,21:30,Pasajero enfermo,Servicio,Media,False,19,False,0.27
146,21803,6,20,9,2024-06-22,2024,6,07:10,Retencion trafico,Externo,Baja,False,5,False,39.55
147,41164,5,5,5,2022-10-27,2022,10,08:54,Huelga parcial,Operacional,Alta,True,5,True,0.0
148,6233,18,18,9,2024-10-25,2024,10,06:16,Huelga parcial,Operacional,Alta,True,8,True,0.0
149,3863,42,28,7,2023-08-29,2023,8,11:27,Retencion trafico,Externo,Baja,False,9,False,11.78
150,35095,26,12,8,2024-09-16,2024,9,15:37,Fallo electrico,Vehiculo,Alta,True,184,False,1062.64
151,40196,3,17,6,2023-09-01,2023,9,21:33,Pasajero enfermo,Servicio,Media,False,5,False,22.2
152,39251,24,24,3,2022-08-05,2022,8,06:03,Pasajero enfermo,Servicio,Media,False,10,False,27.56
153,6218,3,3,1,2022-02-10,2022,2,13:34,Pasajero enfermo,Servicio,Media,False,5,False,73.62
154,36776,27,13,1,2024-01-24,2024,1,08:45,Fallo climatizacion,Vehiculo,Baja,False,13,False,50.42
155,42977,12,26,9,2023-11-05,2023,11,17:51,Pinchazo,Vehiculo,Media,True,17,True,351.71
156,48468,1,1,3,2023-09-11,2023,9,14:44,Huelga parcial,Operacional,Alta,True,34,True,0.0
157,14832,7,21,10,2022-02-09,2022,2,04:20,Vandalismo,Seguridad,Media,False,55,False,700.61
158,30093,22,22,4,2024-02-16,2024,2,06:23,Condiciones meteo,Externo,Media,False,5,False,0.0
159,8894,33,19,8,2024-11-28,2024,11,15:52,Pasajero enfermo,Servicio,Media,False,27,False,70.48
160,6021,16,2,8,2022-04-01,2022,4,13:50,Pinchazo,Vehiculo,Media,True,18,True,173.85
161,46089,16,2,9,2024-03-15,2024,3,20:53,Retencion trafico,Externo,Baja,False,6,False,17.7
162,15243,40,12,6,2023-07-16,2023,7,17:56,Pinchazo,Vehiculo,Media,True,9,True,300.72
163,45308,33,5,7,2024-04-16,2024,4,09:20,Averia mecanica,Vehiculo,Alta,True,14,True,1386.34
164,26551,8,8,2,2022-03-01,2022,3,20:15,Obras calzada,Externo,Media,False,36,False,0.0
165,6035,30,16,1,2023-08-15,2023,8,09:32,Fallo climatizacion,Vehiculo,Baja,False,35,False,198.82
166,7906,11,11,1,2024-01-24,2024,1,13:21,Pinchazo,Vehiculo,Media,True,5,True,349.73
167,32226,13,27,5,2023-05-10,2023,5,15:20,Obras calzada,Externo,Media,False,22,False,0.0
168,6018,13,27,2,2024-02-20,2024,2,17:27,Retencion trafico,Externo,Baja,False,9,False,0.19
169,21880,41,13,6,2022-11-30,2022,11,12:21,Fallo electrico,Vehiculo,Alta,True,84,False,1292.78
170,2792,21,21,2,2023-10-03,2023,10,06:19,Averia mecanica,Vehiculo,Alta,True,103,True,1577.49
171,42606,19,19,8,2024-03-06,2024,3,09:50,Vandalismo,Seguridad,Media,False,6,False,665.27
172,5824,29,1,5,2023-12-01,2023,12,09:12,Accidente leve,Seguridad,Alta,True,5,True,717.41
173,15388,17,17,8,2023-11-12,2023,11,18:21,Condiciones meteo,Externo,Media,False,27,False,0.0
174,29562,37,23,4,2023-10-07,2023,10,07:29,Accidente leve,Seguridad,Alta,True,39,True,838.88
175,39476,39,25,7,2022-01-10,2022,1,11:02,Obras calzada,Externo,Media,False,5,False,0.0
176,293,42,14,2,2024-02-03,2024,2,19:16,Pasajero enfermo,Servicio,Media,False,10,False,9.6
177,16958,33,19,4,2024-07-14,2024,7,21:21,Pasajero enfermo,Servicio,Media,False,33,False,81.35
178,30861,34,6,10,2023-10-13,2023,10,23:28,Obras calzada,Externo,Media,False,16,False,0.0
179,14074,5,19,8,2022-09-30,2022,9,19:20,Condiciones meteo,Externo,Media,False,12,False,0.0
180,21857,18,18,8,2022-09-15,2022,9,16:00,Averia mecanica,Vehiculo,Alta,True,11,True,2717.54
181,22080,31,17,6,2024-09-14,2024,9,11:03,Accidente leve,Seguridad,Alta,True,74,True,2943.35
182,17024,15,1,8,2022-09-06,2022,9,20:04,Huelga parcial,Operacional,Alta,True,114,True,0.0
183,8740,5,5,6,2023-09-06,2023,9,20:12,Fallo electrico,Vehiculo,Alta,True,5,True,962.17
184,15826,35,7,2,2023-04-23,2023,4,18:13,Retencion trafico,Externo,Baja,False,5,False,6.07
185,2742,13,27,5,2022-12-08,2022,12,11:25,Accidente grave,Seguridad,Critica,True,47,True,2322.89
186,18049,32,18,6,2024-06-30,2024,6,08:29,Accidente grave,Seguridad,Critica,True,5,False,3980.06
187,49937,42,14,6,2022-04-09,2022,4,06:47,Vandalismo,Seguridad,Media,False,5,False,366.96
188,17373,28,14,5,2024-01-10,2024,1,11:30,Fallo climatizacion,Vehiculo,Baja,False,5,False,248.68
189,22022,15,15,3,2024-02-05,2024,2,18:16,Averia mecanica,Vehiculo,Alta,True,23,True,946.83
190,46365,40,26,6,2023-11-22,2023,11,18:21,Accidente leve,Seguridad,Alta,True,5,True,3332.96
191,23538,19,19,1,2023-11-11,2023,11,21:03,Retencion trafico,Externo,Baja,False,17,False,42.12
192,45500,15,1,1,2023-04-25,2023,4,12:04,Fallo electrico,Vehiculo,Alta,True,5,False,1226.09
193,40186,35,7,1,2023-12-27,2023,12,11:16,Pasajero enfermo,Servicio,Media,False,5,False,35.64
194,9614,39,11,3,2022-03-22,2022,3,13:12,Huelga parcial,Operacional,Alta,True,28,True,0.0
195,43282,23,23,2,2024-01-05,2024,1,21:01,Pasajero enfermo,Servicio,Media,False,22,False,78.67
196,37892,9,9,4,2022-02-16,2022,2,17:36,Obras calzada,Externo,Media,False,35,False,0.0
197,26179,14,28,8,2022-05-21,2022,5,15:33,Fallo electrico,Vehiculo,Alta,True,75,True,1458.56
198,45893,30,2,9,2022-04-20,2022,4,08:10,Retencion trafico,Externo,Baja,False,5,False,48.9
199,20934,19,19,2,2023-11-07,2023,11,21:41,Accidente grave,Seguridad,Critica,True,33,True,9486.96
200,40972,23,9,6,2024-02-26,2024,2,06:50,Averia mecanica,Vehiculo,Alta,True,67,True,2518.98
201,22225,8,22,5,2022-02-21,2022,2,11:05,Accidente leve,Seguridad,Alta,True,7,False,1270.31
202,24382,23,23,10,2023-07-14,2023,7,23:31,Pinchazo,Vehiculo,Media,True,6,True,388.41
203,34856,39,25,10,2023-01-04,2023,1,03:40,Retencion trafico,Externo,Baja,False,13,False,14.13
204,48578,27,27,5,2023-12-01,2023,12,16:38,Pinchazo,Vehiculo,Media,True,10,True,110.46
205,38537,24,10,2,2023-04-15,2023,4,22:20,Fallo electrico,Vehiculo,Alta,True,133,True,988.34
206,31756,5,5,3,2024-12-22,2024,12,11:42,Fallo electrico,Vehiculo,Alta,True,5,True,774.25
207,7754,27,27,8,2022-04-23,2022,4,19:01,Pinchazo,Vehiculo,Media,True,5,True,311.51
208,46639,20,20,10,2023-11-28,2023,11,22:50,Fallo climatizacion,Vehiculo,Baja,False,10,False,129.51
209,43835,30,16,2,2024-10-18,2024,10,10:31,Obras calzada,Externo,Media,False,60,False,0.0
210,26236,29,1,5,2022-11-26,2022,11,21:15,Accidente grave,Seguridad,Critica,True,74,True,13538.56
211,44230,5,19,9,2022-06-11,2022,6,13:40,Obras calzada,Externo,Media,False,18,False,0.0
212,49597,38,10,6,2024-10-06,2024,10,19:11,Condiciones meteo,Externo,Media,False,27,False,0.0
213,18553,32,18,8,2024-09-06,2024,9,21:57,Vandalismo,Seguridad,Media,False,5,False,669.9
214,43137,4,18,10,2023-11-21,2023,11,00:41,Pasajero enfermo,Servicio,Media,False,20,False,72.85
215,36673,8,22,5,2023-07-17,2023,7,07:33,Accidente leve,Seguridad,Alta,True,34,True,2057.01
216,43650,13,27,9,2022-04-15,2022,4,15:11,Obras calzada,Externo,Media,False,8,False,0.0
217,3941,36,22,10,2024-10-13,2024,10,00:30,Huelga parcial,Operacional,Alta,True,238,True,0.0
218,31497,40,26,7,2024-05-30,2024,5,14:34,Accidente grave,Seguridad,Critica,True,47,True,8372.09
219,26594,9,23,4,2023-06-25,2023,6,19:49,Accidente grave,Seguridad,Critica,True,12,False,9447.76
220,23922,25,11,9,2024-01-15,2024,1,17:21,Accidente leve,Seguridad,Alta,True,14,False,3351.08
221,26403,28,28,7,2023-04-26,2023,4,07:36,Condiciones meteo,Externo,Media,False,5,False,0.0
222,45943,38,24,3,2022-02-10,2022,2,16:01,Retencion trafico,Externo,Baja,False,15,False,3.5
223,48526,17,3,9,2022-01-09,2022,1,18:47,Pinchazo,Vehiculo,Media,True,5,True,101.49
224,18316,5,5,7,2023-01-06,2023,1,13:14,Accidente leve,Seguridad,Alta,True,94,True,1814.44
225,36894,19,19,3,2023-01-28,2023,1,16:24,Condiciones meteo,Externo,Media,False,14,False,0.0
226,26696,27,13,7,2022-10-21,2022,10,08:12,Fallo electrico,Vehiculo,Alta,True,10,True,1024.35
227,42128,3,17,6,2022-03-05,2022,3,21:42,Obras calzada,Externo,Media,False,21,False,0.0
228,14171,18,4,8,2024-05-18,2024,5,07:15,Accidente grave,Seguridad,Critica,True,60,False,9454.86
229,3733,38,10,10,2022-04-06,2022,4,22:22,Condiciones meteo,Externo,Media,False,5,False,0.0
230,7882,29,15,1,2023-06-27,2023,6,07:28,Retencion trafico,Externo,Baja,False,60,False,20.69
231,6017,12,26,10,2023-10-26,2023,10,22:33,Huelga parcial,Operacional,Alta,True,21,False,0.0
232,23030,15,15,3,2023-07-20,2023,7,17:03,Pinchazo,Vehiculo,Media,True,5,False,251.26
233,35474,27,27,7,2023-11-17,2023,11,20:45,Retencion trafico,Externo,Baja,False,6,False,19.53
234,49686,1,15,10,2022-03-04,2022,3,00:19,Averia mecanica,Vehiculo,Alta,True,33,True,730.53
235,4818,31,3,1,2023-12-13,2023,12,22:25,Averia mecanica,Vehiculo,Alta,True,64,True,2886.27
236,41694,31,3,1,2024-05-15,2024,5,16:44,Huelga parcial,Operacional,Alta,True,12,False,0.0
237,12008,39,25,2,2023-08-17,2023,8,20:50,Huelga parcial,Operacional,Alta,True,6,True,0.0
238,41328,1,1,10,2024-05-04,2024,5,22:11,Accidente grave,Seguridad,Critica,True,26,True,2913.16
239,9507,16,16,3,2023-12-05,2023,12,08:03,Accidente grave,Seguridad,Critica,True,10,False,5889.81
240,44799,28,28,9,2022-07-18,2022,7,08:32,Condiciones meteo,Externo,Media,False,5,False,0.0
241,34063,2,16,6,2024-02-03,2024,2,20:24,Vandalismo,Seguridad,Media,False,7,False,293.17
242,27475,8,8,5,2022-06-18,2022,6,21:00,Condiciones meteo,Externo,Media,False,23,False,0.0
243,31144,23,9,5,2024-03-31,2024,3,18:19,Averia mecanica,Vehiculo,Alta,True,18,True,382.39
244,21236,27,13,4,2024-05-29,2024,5,07:44,Fallo climatizacion,Vehiculo,Baja,False,48,False,160.64
245,1391,6,20,8,2024-01-26,2024,1,18:25,Fallo climatizacion,Vehiculo,Baja,False,5,False,265.89
246,38250,31,3,3,2023-07-24,2023,7,12:10,Accidente leve,Seguridad,Alta,True,57,True,1330.62
247,37625,36,22,6,2022-08-15,2022,8,18:58,Accidente grave,Seguridad,Critica,True,12,True,3952.85
248,42029,30,2,3,2023-11-02,2023,11,08:26,Averia mecanica,Vehiculo,Alta,True,22,True,1830.24
249,20835,4,4,5,2023-09-28,2023,9,18:42,Accidente grave,Seguridad,Critica,True,47,True,8162.3
250,14758,17,3,3,2022-11-18,2022,11,15:42,Condiciones meteo,Externo,Media,False,17,False,0.0
251,26397,22,22,9,2023-01-24,2023,1,14:41,Condiciones meteo,Externo,Media,False,31,False,0.0
252,6809,6,6,5,2024-03-07,2024,3,19:06,Retencion trafico,Externo,Baja,False,54,False,1.13
253,9226,29,15,8,2024-05-02,2024,5,15:20,Vandalismo,Seguridad,Media,False,28,False,654.68
