viaje_id,linea_id,vehiculo_id,conductor_id,parada_origen_id,parada_destino_id,fecha,anno,mes,dia_semana,es_festivo,franja_horaria,hora_salida_prog,hora_salida_real,hora_llegada_real,retraso_salida_min,duracion_real_min,pasajeros_subidos,ocupacion_pct,km_programados,km_recorridos,viaje_completado,consumo,tarifa_predominante_id
23,10,24,24,4,118,2024-01-06,2024,1,Saturday,True,Noche,23:00,23:08,00:29,8,81,42.0,0.336,15.0,15.0,True,18.4,4
24,5,25,25,9,53,2023-04-17,2023,4,Monday,False,Tarde,15:20,15:20,15:48,0,28,47.0,0.367,7.3,7.3,True,1.5,7
25,1,26,26,19,82,2023-09-25,2023,9,Monday,False,Tarde punta,19:00,19:13,20:38,13,85,93.0,0.727,18.4,18.4,True,3.48,4
26,3,27,27,18,62,2023-02-16,2023,2,Thursday,False,Manana punta,07:40,07:54,08:44,14,50,91.0,0.711,9.7,9.7,True,3.59,2
27,8,28,28,15,91,2023-08-28,2023,8,Monday,False,Tarde punta,18:20,18:29,19:33,9,64,138.0,0.767,12.6,12.6,True,3.91,9
28,9,29,1,17,115,2024-01-20,2024,1,Saturday,True,Manana punta,07:30,07:48,08:57,18,69,68.0,0.544,19.8,19.8,True,25.13,3
29,6,30,2,40,69,2022-08-10,2022,8,Wednesday,False,Tarde punta,17:30,17:30,18:53,0,83,76.0,0.594,23.5,23.5,True,8.9,3
30,8,31,3,32,55,2023-09-11,2023,9,Monday,False,Tarde,16:00,16:06,16:53,6,47,41.0,0.32,12.6,12.6,True,4.32,1
31,9,32,4,27,116,2022-10-05,2022,10,Wednesday,False,Valle manana,11:20,11:22,12:57,2,95,8.0,0.062,19.8,19.8,True,8.56,4
32,3,33,5,24,68,2024-04-29,2024,4,Monday,False,Tarde,16:30,16:34,17:19,4,45,38.0,0.292,9.7,9.7,True,3.29,3
33,4,34,6,4,91,2024-01-13,2024,1,Saturday,True,Manana punta,07:50,07:50,08:49,0,59,28.0,0.215,14.1,14.1,True,5.5,2
34,2,35,7,22,72,2024-07-20,2024,7,Saturday,True,Manana punta,07:10,07:10,08:03,0,53,105.0,0.84,11.2,11.2,True,3.39,9
35,10,36,8,10,117,2023-02-25,2023,2,Saturday,True,Noche,22:40,22:40,23:38,0,58,34.0,0.184,15.0,15.0,True,5.19,1
36,3,37,9,16,116,2022-09-24,2022,9,Saturday,True,Tarde,14:10,14:10,14:46,0,36,20.0,0.154,9.7,9.7,True,11.09,2
37,3,38,10,29,87,2023-06-28,2023,6,Wednesday,False,Manana punta,06:50,07:19,08:01,29,42,58.0,0.446,9.7,9.7,True,,3
38,2,39,11,30,44,2024-07-14,2024,7,Sunday,True,Tarde,14:40,14:42,15:22,2,40,51.0,0.408,11.2,11.2,True,13.54,1
39,8,40,12,6,82,2024-04-02,2024,4,Tuesday,False,Valle manana,12:00,12:00,12:56,0,56,21.0,0.164,12.6,12.6,True,2.36,3
40,2,41,13,39,108,2022-09-16,2022,9,Friday,False,Valle manana,10:50,10:53,11:45,3,52,27.0,0.211,11.2,11.2,True,2.44,2
41,9,42,14,36,68,2024-05-31,2024,5,Friday,False,Manana punta,07:50,07:52,09:05,2,73,80.0,0.625,19.8,19.8,True,8.37,3
42,4,1,15,21,73,2024-04-27,2024,4,Saturday,True,Valle manana,11:30,11:40,12:40,10,60,37.0,0.289,14.1,14.1,True,4.85,3
43,3,2,16,9,112,2024-08-29,2024,8,Thursday,False,Manana punta,06:00,06:24,06:59,24,35,107.0,0.836,9.7,9.7,True,3.91,1
44,9,3,17,4,77,2023-11-07,2023,11,Tuesday,False,Tarde punta,17:30,17:36,18:59,6,83,101.0,0.777,19.8,19.8,True,8.02,3
45,6,4,18,23,112,2022-08-01,2022,8,Monday,False,Tarde,15:10,15:19,16:48,9,89,22.0,0.169,23.5,23.5,True,9.84,3
46,5,5,19,36,44,2023-04-09,2023,4,Sunday,True,Tarde punta,19:40,19:41,20:20,1,39,71.0,0.568,7.3,7.3,True,2.82,3
47,5,6,20,12,59,2022-03-01,2022,3,Tuesday,False,Manana punta,08:50,09:15,09:51,25,36,79.0,0.427,7.3,7.3,True,2.55,3
48,7,7,21,30,84,2022-05-23,2022,5,Monday,False,Manana punta,07:50,07:51,08:39,1,48,39.0,0.3,8.9,8.9,True,10.24,2
49,5,8,22,4,51,2023-10-27,2023,10,Friday,False,Tarde punta,19:40,19:40,20:14,0,34,100.0,0.769,7.3,7.3,True,9.5,2
50,7,9,23,19,116,2024-09-21,2024,9,Saturday,True,Tarde,15:30,15:30,16:06,0,36,60.0,0.48,8.9,8.9,True,10.43,3
51,5,10,24,9,73,2022-04-04,2022,4,Monday,False,Valle manana,09:40,09:40,10:06,0,26,53.0,0.414,7.3,7.3,True,2.0,2
52,2,11,25,33,112,2022-01-16,2022,1,Sunday,True,Valle manana,13:30,13:47,14:30,17,43,45.0,0.352,11.2,11.2,True,2.8,6
53,6,12,26,37,95,2022-05-28,2022,5,Saturday,True,Valle manana,12:50,12:50,14:14,0,84,68.0,0.531,23.5,20.04,False,8.43,3
54,7,13,27,30,87,2023-08-16,2023,8,Wednesday,False,Manana punta,07:00,07:06,07:54,6,48,132.0,0.733,8.9,8.9,True,3.85,1
55,2,14,28,22,62,2023-05-14,2023,5,Sunday,True,Valle manana,12:30,12:34,13:24,4,50,18.0,0.144,11.2,11.2,True,12.72,1
56,2,15,1,10,71,2024-12-22,2024,12,Sunday,True,Tarde,14:20,14:26,15:13,6,47,47.0,0.367,11.2,11.2,True,4.37,2
57,5,16,2,32,100,2023-02-09,2023,2,Thursday,False,Manana punta,08:10,08:11,08:47,1,36,123.0,0.961,7.3,7.3,True,2.37,5
58,10,17,3,21,60,2024-07-08,2024,7,Monday,False,Madrugada,04:50,04:52,06:03,2,71,22.0,0.172,15.0,15.0,True,6.31,3
59,8,18,4,30,98,2024-06-24,2024,6,Monday,False,Tarde,16:20,16:21,17:20,1,59,49.0,0.377,12.6,12.6,True,3.91,1
60,6,19,5,36,46,2023-08-11,2023,8,Friday,False,Manana punta,07:00,07:18,09:09,18,111,70.0,0.538,23.5,23.5,True,8.57,3
61,10,20,6,22,51,2023-01-21,2023,1,Saturday,True,Noche,23:40,23:42,00:39,2,57,77.0,0.616,15.0,15.0,True,4.72,3
62,3,21,7,24,88,2022-03-22,2022,3,Tuesday,False,Valle manana,09:30,09:30,10:23,0,53,79.0,0.427,9.7,9.7,True,3.74,8
63,7,22,8,7,112,2024-04-17,2024,4,Wednesday,False,Tarde punta,19:50,20:05,20:46,15,41,115.0,0.885,8.9,8.9,True,9.13,4
64,5,23,9,10,85,2023-06-01,2023,6,Thursday,False,Tarde punta,18:50,18:50,19:29,0,39,105.0,0.808,7.3,7.3,True,7.54,2
65,7,24,10,34,52,2022-09-22,2022,9,Thursday,False,Tarde,15:00,15:00,15:36,0,36,11.0,0.088,8.9,8.9,True,11.79,3
66,7,25,11,32,65,2024-11-07,2024,11,Thursday,False,Valle manana,11:20,11:23,11:59,3,36,19.0,0.148,8.9,8.9,True,1.91,2
67,3,26,12,34,45,2022-11-14,2022,11,Monday,False,Manana punta,07:00,07:00,07:43,0,43,111.0,0.867,9.7,9.7,True,2.46,4
68,10,27,13,11,97,2022-09-26,2022,9,Monday,False,Noche,22:10,22:10,23:07,0,57,66.0,0.516,15.0,15.0,True,5.81,1
69,6,28,14,35,71,2023-05-02,2023,5,Tuesday,False,Noche,22:40,22:41,00:16,1,95,92.0,0.511,23.5,23.5,True,8.53,2
70,8,29,15,34,94,2023-02-02,2023,2,Thursday,False,Valle manana,11:40,11:42,12:50,2,68,42.0,0.336,12.6,12.6,True,14.52,9
71,4,30,16,7,107,2022-10-11,2022,10,Tuesday,False,Tarde punta,20:00,20:02,21:09,2,67,93.0,0.727,14.1,14.1,True,5.32,6
72,5,31,17,6,69,2022-06-21,2022,6,Tuesday,False,Tarde punta,18:20,18:22,18:54,2,32,96.0,0.75,7.3,7.3,True,3.04,5
73,6,32,18,24,69,2022-02-24,2022,2,Thursday,False,Valle manana,12:30,12:30,14:15,0,105,62.0,0.484,23.5,23.5,True,10.32,1
74,2,33,19,9,101,2023-11-18,2023,11,Saturday,True,Tarde punta,19:10,19:10,19:50,0,40,113.0,0.869,11.2,11.2,True,4.1,3
75,1,34,20,34,95,2022-06-12,2022,6,Sunday,True,Manana punta,06:10,06:13,07:48,3,95,93.0,0.715,18.4,18.4,True,7.39,2
76,5,35,21,5,55,2023-05-02,2023,5,Tuesday,False,Valle manana,10:00,10:00,10:29,0,29,25.0,0.2,7.3,7.3,True,2.83,6
77,8,36,22,40,86,2022-02-03,2022,2,Thursday,False,Tarde,16:40,16:40,17:30,0,50,60.0,0.324,12.6,12.6,True,4.54,2
78,7,37,23,33,111,2023-01-19,2023,1,Thursday,False,Tarde punta,17:00,17:11,17:51,11,40,84.0,0.646,8.9,8.9,True,10.84,1
79,8,38,24,7,115,2022-03-31,2022,3,Thursday,False,Tarde,16:20,16:22,17:12,2,50,11.0,0.085,12.6,9.74,False,12.6,4
80,6,39,25,31,64,2022-10-01,2022,10,Saturday,True,Manana punta,06:40,06:42,08:20,2,98,113.0,0.904,23.5,23.5,True,29.94,5
81,2,40,26,20,106,2024-07-26,2024,7,Friday,False,Manana punta,06:10,06:16,06:56,6,40,113.0,0.883,11.2,11.2,True,2.06,3
82,9,41,27,22,75,2024-08-27,2024,8,Tuesday,False,Valle manana,10:50,10:52,12:08,2,76,51.0,0.398,19.8,19.8,True,5.11,2
83,6,42,28,12,104,2024-06-13,2024,6,Thursday,False,Tarde punta,20:50,21:22,23:04,32,102,101.0,0.789,23.5,23.5,True,8.17,4
84,6,1,1,12,110,2024-11-29,2024,11,Friday,False,Valle manana,10:00,10:04,12:00,4,116,92.0,0.719,23.5,23.5,True,9.03,2
85,2,2,2,29,85,2022-06-13,2022,6,Monday,False,Valle manana,11:20,11:27,12:13,7,46,18.0,0.141,11.2,11.2,True,4.03,3
86,6,3,3,11,44,2024-06-09,2024,6,Sunday,True,Valle manana,10:00,10:00,11:25,0,85,24.0,0.185,23.5,23.5,True,8.25,2
87,10,4,4,37,45,2024-06-16,2024,6,Sunday,True,Noche,22:10,22:14,23:29,4,75,43.0,0.331,15.0,15.0,True,5.3,3
88,8,5,5,18,72,2024-01-30,2024,1,Tuesday,False,Valle manana,11:00,11:03,12:01,3,58,19.0,0.152,12.6,12.6,True,4.48,9
89,1,6,6,29,68,2023-01-17,2023,1,Tuesday,False,Valle manana,13:30,13:35,15:13,5,98,51.0,0.276,18.4,18.4,True,7.52,9
90,5,7,7,6,81,2024-10-02,2024,10,Wednesday,False,Valle manana,09:10,09:14,09:52,4,38,2.0,0.015,7.3,7.3,True,8.6,4
91,2,8,8,33,69,2023-08-18,2023,8,Friday,False,Tarde punta,20:10,20:15,21:10,5,55,109.0,0.838,11.2,11.2,True,14.76,2
92,4,9,9,36,57,2022-10-12,2022,10,Wednesday,False,Valle manana,09:30,09:32,10:22,2,50,34.0,0.272,14.1,14.1,True,18.63,3
93,2,10,10,37,50,2022-05-15,2022,5,Sunday,True,Valle manana,10:50,10:52,11:47,2,55,31.0,0.242,11.2,11.2,True,2.88,2
94,6,11,11,36,116,2022-06-01,2022,6,Wednesday,False,Valle manana,13:50,13:50,15:36,0,106,40.0,0.312,23.5,23.5,True,6.18,2
95,3,12,12,11,82,2024-06-05,2024,6,Wednesday,False,Tarde,14:00,14:06,14:56,6,50,15.0,0.117,9.7,9.7,True,3.32,9
96,4,13,13,36,76,2023-12-10,2023,12,Sunday,True,Noche,21:40,21:40,22:54,0,74,26.0,0.144,14.1,14.1,True,4.72,2
97,5,14,14,39,84,2024-12-28,2024,12,Saturday,True,Manana punta,07:50,07:55,08:23,5,28,116.0,0.928,7.3,7.3,True,9.22,6
98,10,15,15,14,114,2022-03-26,2022,3,Saturday,True,Madrugada,00:00,00:00,00:53,0,53,3.0,0.023,15.0,15.0,True,5.71,3
99,1,16,16,26,79,2024-10-16,2024,10,Wednesday,False,Tarde punta,20:40,20:41,21:56,1,75,49.0,0.383,18.4,18.4,True,6.76,3
100,1,17,17,21,85,2022-11-20,2022,11,Sunday,True,Valle manana,12:30,12:36,13:57,6,81,28.0,0.219,18.4,18.4,True,5.89,9
101,3,18,18,16,59,2024-01-29,2024,1,Monday,False,Tarde,14:00,14:03,14:43,3,40,56.0,0.431,9.7,9.7,True,3.27,1
102,5,19,19,21,114,2024-02-26,2024,2,Monday,False,Tarde punta,20:30,20:39,21:08,9,29,84.0,0.646,7.3,7.3,True,2.35,4
103,4,20,20,6,91,2022-11-23,2022,11,Wednesday,False,Valle manana,13:40,13:40,14:42,0,62,70.0,0.56,14.1,14.1,True,5.21,3
104,4,21,21,31,77,2023-03-17,2023,3,Friday,False,Tarde,15:00,15:01,15:51,1,50,47.0,0.254,14.1,14.1,True,5.97,3
105,2,22,22,37,112,2024-06-01,2024,6,Saturday,True,Manana punta,07:20,07:22,08:17,2,55,117.0,0.9,11.2,11.2,True,12.99,2
106,9,23,23,40,56,2023-08-15,2023,8,Tuesday,False,Manana punta,07:40,07:44,09:11,4,87,98.0,0.754,19.8,19.8,True,24.74,2
107,2,24,24,26,105,2024-03-17,2024,3,Sunday,True,Valle manana,11:20,11:27,12:18,7,51,83.0,0.664,11.2,11.2,True,13.9,1
108,1,25,25,9,82,2022-10-08,2022,10,Saturday,True,Tarde punta,17:30,17:37,19:00,7,83,44.0,0.344,18.4,18.4,True,4.96,9
109,6,26,26,33,109,2022-11-29,2022,11,Tuesday,False,Valle manana,12:40,12:44,14:40,4,116,36.0,0.281,23.5,23.5,True,5.02,3
110,10,27,27,20,44,2023-09-06,2023,9,Wednesday,False,Noche,22:20,22:20,23:22,0,62,46.0,0.359,15.0,15.0,True,5.37,3
111,5,28,28,25,59,2023-04-12,2023,4,Wednesday,False,Tarde punta,18:40,18:44,19:16,4,32,174.0,0.967,7.3,7.3,True,2.93,5
112,4,29,1,27,105,2022-03-06,2022,3,Sunday,True,Tarde,15:50,15:50,16:42,0,52,23.0,0.184,14.1,6.88,False,8.78,5
113,8,30,2,34,89,2022-05-08,2022,5,Sunday,True,Tarde punta,17:40,17:43,18:32,3,49,73.0,0.57,12.6,12.6,True,4.95,2
114,3,31,3,17,119,2024-07-30,2024,7,Tuesday,False,Noche,21:20,21:20,22:04,0,44,15.0,0.117,9.7,9.7,True,4.09,3
115,4,32,4,14,103,2023-07-26,2023,7,Wednesday,False,Tarde,15:10,15:10,16:25,0,75,11.0,0.086,14.1,14.1,True,5.75,2
116,6,33,5,23,59,2023-07-15,2023,7,Saturday,True,Valle manana,10:40,10:40,12:34,0,114,11.0,0.085,23.5,23.5,True,10.27,2
117,5,34,6,35,75,2022-06-11,2022,6,Saturday,True,Valle manana,11:30,11:31,12:06,1,35,52.0,0.4,7.3,7.3,True,2.41,9
118,5,35,7,34,69,2022-10-09,2022,10,Sunday,True,Manana punta,07:50,07:50,08:24,0,34,72.0,0.576,7.3,7.3,True,2.87,3
119,1,36,8,36,61,2022-07-25,2022,7,Monday,False,Valle manana,12:50,12:56,14:17,6,81,32.0,0.173,18.4,18.4,True,5.87,3
120,8,37,9,37,70,2024-09-04,2024,9,Wednesday,False,Tarde,16:20,16:22,17:14,2,52,32.0,0.246,12.6,12.6,True,13.05,3
121,1,38,10,12,78,2022-12-25,2022,12,Sunday,True,Valle manana,12:10,12:11,13:49,1,98,54.0,0.415,18.4,18.4,True,24.2,6
122,1,39,11,34,104,2023-09-04,2023,9,Monday,False,Tarde,15:00,15:01,16:39,1,98,29.0,0.232,18.4,18.4,True,23.12,7
123,3,40,12,17,64,2024-10-29,2024,10,Tuesday,False,Valle manana,13:10,13:10,13:59,0,49,13.0,0.102,9.7,9.7,True,2.46,1
124,6,41,13,28,106,2023-08-28,2023,8,Monday,False,Tarde,15:10,15:10,16:40,0,90,33.0,0.258,23.5,23.5,True,6.34,2
125,7,42,14,25,71,2022-07-15,2022,7,Friday,False,Manana punta,08:10,08:15,08:54,5,39,91.0,0.711,8.9,8.9,True,2.68,3
126,5,1,15,16,48,2023-11-07,2023,11,Tuesday,False,Valle manana,10:50,10:50,11:23,0,33,40.0,0.312,7.3,7.3,True,2.56,4
127,8,2,16,20,56,2023-09-21,2023,9,Thursday,False,Manana punta,08:50,08:57,09:53,7,56,106.0,0.828,12.6,12.6,True,5.02,3
128,5,3,17,39,88,2024-01-23,2024,1,Tuesday,False,Tarde,16:10,16:12,16:51,2,39,43.0,0.331,7.3,7.3,True,2.65,3
129,9,4,18,39,51,2024-08-22,2024,8,Thursday,False,Tarde punta,18:50,18:56,20:37,6,101,116.0,0.892,19.8,19.8,True,7.83,3
130,9,5,19,13,114,2024-01-11,2024,1,Thursday,False,Manana punta,07:40,07:48,09:01,8,73,101.0,0.808,19.8,19.8,True,8.44,3
131,3,6,20,6,106,2023-11-03,2023,11,Friday,False,Tarde punta,20:30,20:49,21:25,19,36,154.0,0.832,9.7,9.7,True,3.7,3
132,1,7,21,2,91,2024-07-17,2024,7,Wednesday,False,Manana punta,07:30,07:34,08:55,4,81,47.0,0.362,18.4,18.4,True,24.34,2
133,1,8,22,5,101,2023-03-23,2023,3,Thursday,False,Tarde,15:00,15:00,16:19,0,79,10.0,0.077,18.4,18.4,True,18.84,1
134,7,9,23,25,98,2023-01-04,2023,1,Wednesday,False,Tarde punta,19:50,19:51,20:39,1,48,79.0,0.632,8.9,8.9,True,12.43,6
135,7,10,24,8,63,2024-02-09,2024,2,Friday,False,Manana punta,07:50,07:56,08:42,6,46,119.0,0.93,8.9,8.9,True,2.37,9
136,7,11,25,30,110,2024-12-19,2024,12,Thursday,False,Manana punta,07:10,07:24,08:10,14,46,80.0,0.625,8.9,8.9,True,2.47,3
137,7,12,26,8,45,2023-04-16,2023,4,Sunday,True,Valle manana,09:20,09:25,09:58,5,33,55.0,0.43,8.9,8.9,True,3.76,5
138,7,13,27,4,72,2022-02-02,2022,2,Wednesday,False,Valle manana,09:00,09:00,09:32,0,32,55.0,0.306,8.9,8.9,True,3.41,4
139,7,14,28,15,114,2024-06-17,2024,6,Monday,False,Valle manana,09:10,09:17,10:01,7,44,44.0,0.352,8.9,8.9,True,12.44,2
140,10,15,1,36,116,2023-10-19,2023,10,Thursday,False,Noche,22:50,22:51,23:59,1,68,33.0,0.258,15.0,15.0,True,5.08,6
141,3,16,2,34,81,2024-05-24,2024,5,Friday,False,Tarde,15:00,15:00,15:52,0,52,8.0,0.062,9.7,9.7,True,3.82,4
142,7,17,3,20,59,2022-11-02,2022,11,Wednesday,False,Valle manana,10:10,10:13,10:57,3,44,72.0,0.562,8.9,8.9,True,3.73,5
143,1,18,4,22,51,2024-04-25,2024,4,Thursday,False,Noche,22:40,22:42,00:05,2,83,15.0,0.115,18.4,18.4,True,6.18,8
144,6,19,5,3,50,2022-07-09,2022,7,Saturday,True,Tarde,14:10,14:12,15:36,2,84,25.0,0.192,23.5,23.5,True,9.04,2
145,10,20,6,8,102,2023-03-21,2023,3,Tuesday,False,Noche,23:20,23:38,00:59,18,81,66.0,0.528,15.0,12.93,False,5.62,8
146,10,21,7,23,80,2023-02-23,2023,2,Thursday,False,Noche,22:40,22:42,23:44,2,62,21.0,0.114,15.0,15.0,True,5.48,2
147,9,22,8,27,46,2024-10-15,2024,10,Tuesday,False,Valle manana,13:50,13:50,15:17,0,87,38.0,0.292,19.8,19.8,True,22.74,3
148,4,23,9,22,70,2022-10-26,2022,10,Wednesday,False,Manana punta,06:40,06:41,07:56,1,75,90.0,0.692,14.1,14.1,True,14.96,3
149,4,24,10,32,99,2024-10-19,2024,10,Saturday,True,Tarde,14:50,14:50,15:48,0,58,40.0,0.32,14.1,14.1,True,18.18,2
150,6,25,11,4,108,2022-12-13,2022,12,Tuesday,False,Manana punta,07:40,07:44,09:29,4,105,69.0,0.539,23.5,23.5,True,5.5,1
151,2,26,12,10,42,2022-04-10,2022,4,Sunday,True,Tarde punta,18:30,18:50,19:32,20,42,78.0,0.609,11.2,11.2,True,2.09,2
152,8,27,13,32,43,2024-02-04,2024,2,Sunday,True,Manana punta,06:50,06:51,07:51,1,60,98.0,0.766,12.6,12.6,True,4.63,1
153,9,28,14,33,96,2024-04-22,2024,4,Monday,False,Manana punta,06:40,06:40,08:17,0,97,157.0,0.872,19.8,19.8,True,6.73,5
154,3,29,15,18,91,2022-08-08,2022,8,Monday,False,Noche,21:40,21:40,22:16,0,36,18.0,0.144,9.7,9.7,True,12.86,1
155,7,30,16,3,52,2024-07-29,2024,7,Monday,False,Tarde,15:50,15:52,16:27,2,35,17.0,0.133,8.9,8.9,True,3.73,3
156,7,31,17,22,113,2024-09-01,2024,9,Sunday,True,Manana punta,06:00,06:00,06:43,0,43,91.0,0.711,8.9,8.9,True,3.72,9
157,2,32,18,31,75,2024-12-17,2024,12,Tuesday,False,Noche,21:10,21:10,21:53,0,43,12.0,0.094,11.2,11.2,True,4.75,1
158,2,33,19,2,67,2023-07-29,2023,7,Saturday,True,Tarde punta,20:40,20:44,21:37,4,53,84.0,0.646,11.2,11.2,True,4.69,3
159,7,34,20,35,83,2022-06-07,2022,6,Tuesday,False,Valle manana,10:40,10:41,11:16,1,35,53.0,0.408,8.9,8.9,True,3.15,3
160,3,35,21,22,118,2022-06-10,2022,6,Friday,False,Tarde,14:20,14:22,14:56,2,34,49.0,0.392,9.7,9.7,True,4.05,5
161,10,36,22,15,86,2024-03-23,2024,3,Saturday,True,Madrugada,02:00,02:01,03:12,1,71,46.0,0.249,15.0,15.0,True,5.45,3
162,7,37,23,5,51,2024-06-03,2024,6,Monday,False,Manana punta,08:40,08:41,09:23,1,42,111.0,0.854,8.9,8.9,True,11.74,2
163,7,38,24,18,54,2022-11-12,2022,11,Saturday,True,Tarde punta,18:20,18:29,19:06,9,37,89.0,0.685,8.9,8.9,True,10.48,2
164,3,39,25,39,117,2024-06-01,2024,6,Saturday,True,Valle manana,13:40,13:40,14:23,0,43,38.0,0.304,9.7,9.7,True,11.85,5
165,7,40,26,16,114,2022-01-26,2022,1,Wednesday,False,Valle manana,10:30,10:30,11:15,0,45,21.0,0.164,8.9,8.9,True,2.1,3
166,7,41,27,18,94,2022-12-14,2022,12,Wednesday,False,Manana punta,07:20,07:30,08:05,10,35,98.0,0.766,8.9,8.9,True,1.75,2
167,2,42,28,30,54,2024-01-10,2024,1,Wednesday,False,Valle manana,10:10,10:18,11:13,8,55,36.0,0.281,11.2,11.2,True,4.33,2
168,1,1,1,28,117,2024-03-21,2024,3,Thursday,False,Valle manana,11:40,11:41,12:59,1,78,39.0,0.305,18.4,18.4,True,6.65,2
169,6,2,2,32,114,2023-02-16,2023,2,Thursday,False,Valle manana,13:10,13:12,15:19,2,127,18.0,0.141,23.5,23.5,True,8.01,5
170,6,3,3,35,64,2024-02-10,2024,2,Saturday,True,Valle manana,10:30,10:30,12:09,0,99,13.0,0.1,23.5,23.5,True,7.71,4
171,9,4,4,5,93,2022-02-25,2022,2,Friday,False,Noche,21:30,21:31,23:17,1,106,50.0,0.385,19.8,19.8,True,8.15,4
172,3,5,5,29,117,2023-09-13,2023,9,Wednesday,False,Valle manana,09:50,09:53,10:29,3,36,27.0,0.216,9.7,9.7,True,3.42,3
173,7,6,6,35,117,2024-12-30,2024,12,Monday,False,Tarde,14:50,14:50,15:28,0,38,36.0,0.195,8.9,8.9,True,3.88,3
174,2,7,7,26,83,2022-08-12,2022,8,Friday,False,Tarde punta,19:50,19:53,20:47,3,54,95.0,0.731,11.2,11.2,True,13.72,9
175,7,8,8,15,98,2022-08-05,2022,8,Friday,False,Manana punta,06:20,06:35,07:10,15,35,101.0,0.777,8.9,8.9,True,11.35,3
176,8,9,9,10,85,2024-10-21,2024,10,Monday,False,Manana punta,08:00,08:03,08:59,3,56,69.0,0.552,12.6,12.6,True,13.03,2
177,8,10,10,21,49,2023-02-28,2023,2,Tuesday,False,Tarde,14:20,14:26,15:22,6,56,38.0,0.297,12.6,12.6,True,3.15,2
